"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-04-01 19:47:15 PDT,,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,Beverly Hills,# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,,,
data,http://gis.beverlyhills.org/arcgis/rest/services/CBHExtOpen/Unitecop_layers_wm_HistoricResources101/MapServer/3/query,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,,,
year,Unknown,# Year the data was generated,,,,,,,,,,,,,,,,,,,,,,,,
code,Unknown,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,,,
column,ZONE,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,,,,
ZONE,singleFamily,multiFamily,maxHeightMeters,maxHeightStories,minLotSizePerUnitHectares,maxUnitsPerLot,minUnitsPerLot,minLotSizeHectares,maxLotSizeHectares,minLotWidthMeters,maxLotWidthMeters,minLotDepthMeters,minFloorAreaPerUnitSqMeters,minParkingPerUnit,maxParkingPerUnit,maxUnitsPerHectare,maxLotCoverage,maxFar,setbackFrontMeters,setbackFrontPercent,setbackSideMeters,setbackSidePercent,setbackRearMeters,setbackRearPercent,demoControls,note
C-3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
C-3A,0,0,,,,,,,,,,,,,,,,,,,,,,,,
C-3T-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
C-3T-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
C-3T-3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
C-5,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OPENSPACE,0,0,,,,,,,,,,,,,,,,,,,,,,,,
P-S,0,0,,,,,,,,,,,,,,,,,,,,,,,,
R-1,1,0,"c,c",,,1,,,,,,,,2-4,,,"c,c","c,c",,,,,,,,
R-1.5X,1,0,"c,c",,,1,,,,,,,,2-4,,,"c,c","c,c",,,,,,,,
R-1.5X2,1,0,"c,c",,,1,,,,,,,,2-4,,,"c,c","c,c",,,,,,,,
R-1.6X,1,0,"c,c",,,1,,,,,,,,2-4,,,"c,c","c,c",,,,,,,,
R-1.7X,1,0,"c,c",,,1,,,,,,,,2-4,,,"c,c","c,c",,,,,,,,
R-1.8X,1,0,"c,c",,,1,,,,,,,,2-4,5,,"c,c","c,c",,,,,,,,
R-1.X,1,0,"c,c",,,1,,,,,,,,2-4,,,"c,c","c,c",,,,,,,,Weird Max Parking inside the code itself not the parking standards. Would love to find the story. 
R-3,1,1,,3-5,,,,,,,,,,1-4,,,,,,,,,,,,
R-4,1,1,,3-5,,,,,,,,,,1-5,,,,,,,,,,,,
R-4-P,1,1,,3-5,,,,,,,,,,1-6,,,,,,,,,,,,
R-4X1,1,1,,3-5,,,,,,,,,,1-7,,,,,,,,,,,,
R-4X2,1,1,,3-5,,,,,,,,,,1-8,,,,,,,,,,,,
RMCP,1,1,,3-5,,,,,,,,,,1-9,,,,,,,,,,,,
S,0,0,,,,,,,,,,,,,,,,,,,,,,,,
T-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
UNZONED,,,,,,,,,,,,,,,,,,,,,,,,,,